ENROLLMENT,TUITION PAYMENT MARCH 2022,TUITION PAYMENT MARCH 2023,GENDER,TYPE OF EDUCATIONAL INSTITUTION,EDUCATIONAL INSTITUTION,INSTITUTION STATUS,DEPARTMENT,PROVINCE,DISTRICT,CLASSIFICATION,CAMPUS,FACULTY,PROGRAM/MAJOR,SHIFT/SCHEDULE,BENEFIT DISCOUNTS,STUDY MODE,AGE RANGE OF ENROLLED STUDENT,DISABILITY,NUMBER OF ENROLLED COURSES,AT-RISK COURSE
0,0,0,1,,EJERCITO PERUANO,,14,98,532,2,6,6,42,2,4,0,1,0,2,2
0,0,0,1,,UNIVERSIDAD CESAR VALLEJO,,14,98,256,1,6,1,18,2,4,0,3,0,3,0
0,0,0,1,INSTITUTO,MARISCAL CACERES,ESTATAL,14,98,540,1,6,5,33,2,4,0,1,0,2,2
0,0,0,1,COLEGIO,105 PEDRO CORONADO ARRASCUE,ESTATAL,14,98,308,1,6,0,9,2,4,0,1,0,0,0
0,1,1,2,COLEGIO,UNIVERSIDADNACIONALMAYORDE,ESTATAL,14,98,540,2,6,3,25,1,4,0,4,0,3,0
1,0,0,1,,,,14,98,532,1,6,6,40,1,4,0,4,0,1,0
1,0,0,1,,,,14,98,532,0,6,0,7,2,4,0,4,0,1,0
1,1,1,1,,,,6,24,68,0,6,5,62,2,4,0,4,0,2,0
1,0,0,1,,,,14,98,309,1,6,0,0,0,4,0,4,0,2,0
1,1,1,1,INSTITUTO,IDAT,PRIVADA,14,98,543,1,6,6,57,1,2,0,4,0,1,1
1,0,0,1,,,,14,98,320,1,6,6,45,1,4,0,3,0,3,0
1,1,1,2,,,,14,98,157,1,6,1,17,2,4,0,4,0,3,0
1,1,1,1,,,,14,98,32,1,6,6,46,2,4,2,4,0,1,0
1,1,1,2,,,,14,16,47,1,6,2,19,0,4,0,4,0,1,1
1,0,0,1,,,,6,24,68,1,6,6,46,1,4,0,4,0,3,0
1,1,1,1,,,,10,84,293,1,6,6,46,1,4,0,4,0,4,0
1,0,0,1,,,,14,98,660,1,6,5,55,1,4,0,4,0,0,0
1,0,0,1,,,,14,80,565,1,6,6,48,2,4,2,4,0,2,0
1,0,0,2,,,,14,98,32,1,6,2,19,0,2,0,4,0,1,0
1,1,1,1,,,,14,98,606,1,6,6,36,0,4,0,4,0,2,0
1,1,1,1,INSTITUTO,IDAT,PRIVADA,14,98,533,1,6,6,36,1,4,0,4,0,2,0
1,1,1,2,INSTITUTO,IDAT,PRIVADA,14,98,532,0,6,0,7,1,4,0,4,0,3,0
1,1,1,1,,,,14,80,347,1,6,3,24,2,4,0,3,0,2,0
1,1,1,2,INSTITUTO,IDAT,PRIVADA,14,98,256,1,6,0,1,0,4,2,4,0,2,0
1,1,1,2,,,,6,24,68,2,6,0,75,0,4,1,4,0,1,0
1,0,0,1,,,,14,98,324,1,6,6,50,1,4,0,3,0,1,0
1,0,0,1,,,,14,98,157,1,6,6,50,0,4,0,4,0,3,3
1,0,0,1,,,,14,98,536,1,6,6,32,2,4,2,4,0,1,1
1,0,0,1,,,,14,98,308,1,6,6,36,1,4,0,4,0,3,0
1,1,1,1,INSTITUTO,IDAT,PRIVADA,14,98,320,1,6,6,40,2,4,0,4,0,1,0
1,1,1,1,COLEGIO,COLEGIO GENERICO/EXTRANJERO,PRIVADA,14,98,137,1,6,6,40,1,4,0,3,0,4,4
1,0,0,2,,,,14,30,77,1,6,5,52,1,4,0,4,0,3,0
1,1,1,1,,,,14,30,77,1,6,5,56,2,4,0,4,0,2,0
1,1,0,1,,,,14,98,157,1,6,6,48,1,4,0,4,0,3,3
1,1,1,2,COLEGIO,SANTISIMO SEÑOR DE LUREN,PRIVADA,14,98,461,0,6,0,15,2,4,0,3,0,2,0
1,1,1,1,,,,14,30,77,1,6,6,50,2,4,0,4,0,3,0
1,1,1,1,,,,14,80,347,1,6,6,48,2,4,0,4,0,3,3
1,0,0,1,COLEGIO,SAN FELIPE,ESTATAL,14,98,492,0,6,0,7,2,4,0,3,0,0,0
1,1,1,1,,,,14,98,32,2,6,5,63,2,4,0,4,0,3,0
1,1,1,1,,,,6,24,654,1,6,6,40,0,4,0,4,0,3,0
1,1,1,1,,,,14,80,347,1,6,6,57,1,4,2,4,0,2,0
1,1,1,1,INSTITUTO,IDAT,PRIVADA,14,98,32,1,6,0,1,1,4,0,4,0,1,0
1,0,0,2,INSTITUTO,ICLAE DEL PERU,PRIVADA,14,98,157,1,6,2,19,2,2,2,4,0,2,0
1,1,1,1,,,,6,24,68,1,6,5,71,1,4,0,4,0,2,2
1,1,1,1,INSTITUTO,IDAT,PRIVADA,14,28,554,1,6,1,28,2,4,2,3,0,1,1
1,1,1,1,,,,14,98,540,1,6,6,40,2,4,0,3,0,1,0
1,1,1,1,,,,10,44,125,1,6,0,4,1,4,0,3,0,1,0
1,1,1,1,,,,14,30,77,2,6,6,42,1,4,0,3,0,1,0
